000596;441;7;1;6;2;0;0;5;33;1;173347;25
000601;322;7;1;6;2;0;0;5;33;1;174960;25
000606;154;7;1;6;2;0;0;5;40;1;175754;25
000613;52;7;1;6;2;0;0;5;40;1;176131;25
000618;1;7;1;6;2;0;0;5;40;1;176138;25
000623;1;7;1;6;2;0;0;5;40;1;176145;25
000628;1;7;1;6;2;0;0;5;40;1;176152;25
000633;1;7;1;6;2;0;0;5;40;1;176159;25
000638;1;7;1;6;2;0;0;5;40;1;176166;25
000643;1;7;1;6;2;0;0;5;40;1;176173;25
000648;1;7;1;6;2;0;0;5;40;1;176179;25
000653;1;7;1;6;2;0;0;5;40;1;176186;25
000658;1;7;1;6;2;0;0;5;40;1;176193;25
000663;1;7;1;6;2;0;0;5;40;1;176200;25
000668;1;7;1;6;2;0;0;5;40;1;176207;25
000673;1;7;1;6;2;0;0;5;40;1;176214;25
000678;1;7;1;6;2;0;0;5;40;1;176221;25
000683;1;7;1;6;2;0;0;5;40;1;176228;25
000688;1;7;1;6;2;0;0;5;40;1;176235;25
000693;1;7;1;6;2;0;0;5;40;1;176241;25
000698;1;7;1;6;2;0;0;5;40;1;176248;25
000703;1;7;1;6;2;0;0;5;40;1;176255;25
000713;3;7;1;6;2;0;0;5;43;1;176293;25
000718;1;7;1;6;2;0;0;5;43;1;176300;25
000723;23;7;1;6;2;0;0;5;43;1;176420;25
000728;1;7;1;6;2;0;0;5;43;1;176427;25
000733;1;7;1;6;2;0;0;5;43;1;176434;25
000738;1;7;1;6;2;0;0;5;43;1;176441;25
000746;461;7;1;6;2;0;0;5;44;1;180225;25
000751;489;7;1;6;2;0;0;5;44;1;182676;25
000759;414;7;0;6;2;0;0;5;47;0;185982;25
000764;522;7;0;6;2;0;0;5;47;0;188598;25
000770;456;7;0;6;2;0;0;5;47;0;191173;25
000775;481;7;0;6;2;0;0;5;47;0;193583;25
000780;489;7;0;6;2;0;0;5;47;0;196033;25
000786;374;7;0;6;2;0;0;5;49;0;198226;25
000791;477;7;0;6;2;0;0;5;49;0;200612;25
000798;455;7;0;6;2;0;0;5;51;0;204017;25
000804;330;7;0;6;2;0;0;5;53;0;205900;25
000811;432;7;0;6;2;0;0;5;53;0;209198;25
000817;346;7;0;6;2;0;0;5;54;0;211271;25
000825;473;7;0;6;2;0;0;5;54;0;214960;25
000833;459;7;0;6;2;0;0;5;55;0;218543;25
000838;498;7;0;6;2;0;0;5;55;0;221035;25
000847;452;7;0;6;2;0;0;5;55;0;225034;25
